dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,noisy_train_accuracy,noisy_test_accuracy,noiseless_train_accuracy,noiseless_test_accuracy,median_train_accuracy,median_test_accuracy,krum_train_accuracy,krum_test_accuracy,hyperbolic_train_accuracy,hyperbolic_test_accuracy
spambase,0.4,10.0,add_noise,64,89.67391304347827,89.79370249728555,90.40760869565217,89.79370249728555,90.27173913043478,89.35939196525516,90.59782608695653,90.01085776330075,91.08695652173913,90.33659066232356
spambase,0.4,100.0,add_noise,64,86.49456521739131,85.99348534201955,90.40760869565217,89.79370249728555,90.40760869565217,89.46796959826275,90.51630434782608,89.90228013029315,91.08695652173913,90.11943539630836
spambase,0.4,200.0,add_noise,64,85.46195652173914,86.64495114006515,90.40760869565217,89.79370249728555,90.32608695652173,89.35939196525516,90.43478260869566,90.01085776330075,91.08695652173913,90.22801302931596
spambase,0.4,0.01,add_noise,128,90.16304347826087,89.57654723127035,90.21739130434783,89.68512486427795,90.19021739130434,89.25081433224756,90.3804347826087,89.25081433224756,90.81521739130434,90.22801302931596
spambase,0.4,0.1,add_noise,128,90.27173913043478,89.57654723127035,90.19021739130434,89.57654723127035,90.19021739130434,89.25081433224756,90.40760869565217,89.35939196525516,90.76086956521739,90.44516829533116
spambase,0.4,1.0,add_noise,128,89.83695652173913,89.68512486427795,90.2445652173913,89.68512486427795,90.16304347826087,89.25081433224756,90.3804347826087,89.25081433224756,90.89673913043478,90.33659066232356
spambase,0.4,10.0,add_noise,128,88.53260869565217,87.29641693811075,90.19021739130434,89.57654723127035,90.21739130434783,89.25081433224756,90.40760869565217,89.14223669923996,90.89673913043478,90.44516829533116
spambase,0.4,100.0,add_noise,128,83.91304347826087,83.93051031487514,90.19021739130434,89.57654723127035,90.27173913043478,89.25081433224756,90.43478260869566,89.46796959826275,90.84239130434783,90.33659066232356
spambase,0.4,200.0,add_noise,128,84.29347826086956,83.06188925081433,90.21739130434783,89.68512486427795,90.2445652173913,89.25081433224756,90.43478260869566,89.25081433224756,90.84239130434783,90.33659066232356
spambase,0.4,0.0,ipm_attack,16,90.3804347826087,89.79370249728555,90.97826086956522,90.33659066232356,76.16847826086956,75.7871878393051,12.01086956521739,11.400651465798045,12.119565217391305,11.617806731813246
spambase,0.4,0.0,ipm_attack,32,90.2445652173913,89.68512486427795,90.40760869565217,90.01085776330075,84.45652173913044,83.71335504885994,12.20108695652174,11.292073832790445,12.255434782608695,11.292073832790445
