dataset	byzantine_fraction	noise_variance	attack_mode	samples_per_node	accuracy_type	accuracy	Aggregation Method
fashion_mnist	0.1	200.0	add_noise	16	noisy_train_accuracy	72.46833333333333	mean with noise
fashion_mnist	0.1	0.01	add_noise	32	noisy_train_accuracy	85.03500000000001	mean with noise
fashion_mnist	0.1	0.1	add_noise	32	noisy_train_accuracy	85.02	mean with noise
fashion_mnist	0.1	1.0	add_noise	32	noisy_train_accuracy	84.68166666666667	mean with noise
fashion_mnist	0.1	10.0	add_noise	32	noisy_train_accuracy	82.22666666666667	mean with noise
fashion_mnist	0.1	100.0	add_noise	32	noisy_train_accuracy	74.57333333333334	mean with noise
fashion_mnist	0.1	200.0	add_noise	32	noisy_train_accuracy	71.09333333333333	mean with noise
fashion_mnist	0.1	0.01	add_noise	64	noisy_train_accuracy	84.15	mean with noise
fashion_mnist	0.1	0.1	add_noise	64	noisy_train_accuracy	84.185	mean with noise
fashion_mnist	0.1	1.0	add_noise	64	noisy_train_accuracy	83.76	mean with noise
fashion_mnist	0.1	10.0	add_noise	64	noisy_train_accuracy	82.00333333333333	mean with noise
fashion_mnist	0.1	100.0	add_noise	64	noisy_train_accuracy	71.905	mean with noise
fashion_mnist	0.1	200.0	add_noise	64	noisy_train_accuracy	71.09666666666666	mean with noise
fashion_mnist	0.1	1.0	add_noise	128	noisy_train_accuracy	82.81500000000001	mean with noise
fashion_mnist	0.1	10.0	add_noise	128	noisy_train_accuracy	81.19833333333332	mean with noise
fashion_mnist	0.1	100.0	add_noise	128	noisy_train_accuracy	72.80166666666666	mean with noise
fashion_mnist	0.1	200.0	add_noise	128	noisy_train_accuracy	66.45333333333333	mean with noise
fashion_mnist	0.2	0.01	add_noise	16	noisy_train_accuracy	85.73333333333333	mean with noise
fashion_mnist	0.2	0.1	add_noise	16	noisy_train_accuracy	85.69833333333334	mean with noise
fashion_mnist	0.2	1.0	add_noise	16	noisy_train_accuracy	84.76666666666667	mean with noise
fashion_mnist	0.2	10.0	add_noise	16	noisy_train_accuracy	80.08166666666666	mean with noise
fashion_mnist	0.2	100.0	add_noise	16	noisy_train_accuracy	71.83833333333334	mean with noise
fashion_mnist	0.2	200.0	add_noise	16	noisy_train_accuracy	71.72166666666666	mean with noise
fashion_mnist	0.2	0.01	add_noise	32	noisy_train_accuracy	84.98833333333333	mean with noise
fashion_mnist	0.2	0.1	add_noise	32	noisy_train_accuracy	84.965	mean with noise
fashion_mnist	0.2	1.0	add_noise	32	noisy_train_accuracy	84.29333333333334	mean with noise
fashion_mnist	0.2	10.0	add_noise	32	noisy_train_accuracy	79.69166666666668	mean with noise
fashion_mnist	0.2	100.0	add_noise	32	noisy_train_accuracy	71.95166666666667	mean with noise
fashion_mnist	0.2	200.0	add_noise	32	noisy_train_accuracy	67.89666666666668	mean with noise
fashion_mnist	0.2	0.01	add_noise	64	noisy_train_accuracy	84.14833333333334	mean with noise
fashion_mnist	0.2	0.1	add_noise	64	noisy_train_accuracy	84.095	mean with noise
fashion_mnist	0.2	1.0	add_noise	64	noisy_train_accuracy	83.74333333333334	mean with noise
fashion_mnist	0.2	10.0	add_noise	64	noisy_train_accuracy	79.63	mean with noise
fashion_mnist	0.2	100.0	add_noise	64	noisy_train_accuracy	68.78	mean with noise
fashion_mnist	0.2	200.0	add_noise	64	noisy_train_accuracy	66.86	mean with noise
fashion_mnist	0.2	0.01	add_noise	128	noisy_train_accuracy	82.98166666666667	mean with noise
fashion_mnist	0.2	0.1	add_noise	128	noisy_train_accuracy	82.975	mean with noise
fashion_mnist	0.2	1.0	add_noise	128	noisy_train_accuracy	82.57166666666666	mean with noise
fashion_mnist	0.2	10.0	add_noise	128	noisy_train_accuracy	79.85333333333332	mean with noise
fashion_mnist	0.2	100.0	add_noise	128	noisy_train_accuracy	70.88499999999999	mean with noise
fashion_mnist	0.2	200.0	add_noise	128	noisy_train_accuracy	66.48333333333333	mean with noise
fashion_mnist	0.3	0.01	add_noise	16	noisy_train_accuracy	85.725	mean with noise
fashion_mnist	0.3	0.1	add_noise	16	noisy_train_accuracy	85.56166666666667	mean with noise
fashion_mnist	0.3	1.0	add_noise	16	noisy_train_accuracy	84.34166666666667	mean with noise
fashion_mnist	0.3	10.0	add_noise	16	noisy_train_accuracy	78.95833333333333	mean with noise
fashion_mnist	0.3	100.0	add_noise	16	noisy_train_accuracy	72.22	mean with noise
fashion_mnist	0.3	200.0	add_noise	16	noisy_train_accuracy	71.28	mean with noise
fashion_mnist	0.3	0.01	add_noise	32	noisy_train_accuracy	85.015	mean with noise
fashion_mnist	0.3	0.1	add_noise	32	noisy_train_accuracy	84.89166666666667	mean with noise
fashion_mnist	0.3	1.0	add_noise	32	noisy_train_accuracy	83.895	mean with noise
fashion_mnist	0.3	10.0	add_noise	32	noisy_train_accuracy	78.58833333333334	mean with noise
fashion_mnist	0.3	100.0	add_noise	32	noisy_train_accuracy	70.61666666666667	mean with noise
fashion_mnist	0.3	200.0	add_noise	32	noisy_train_accuracy	66.24	mean with noise
fashion_mnist	0.3	0.01	add_noise	64	noisy_train_accuracy	84.11666666666666	mean with noise
fashion_mnist	0.3	0.1	add_noise	64	noisy_train_accuracy	84.07833333333333	mean with noise
fashion_mnist	0.3	1.0	add_noise	64	noisy_train_accuracy	83.375	mean with noise
fashion_mnist	0.3	10.0	add_noise	64	noisy_train_accuracy	78.82166666666667	mean with noise
fashion_mnist	0.3	100.0	add_noise	64	noisy_train_accuracy	70.14166666666667	mean with noise
fashion_mnist	0.3	200.0	add_noise	64	noisy_train_accuracy	65.46	mean with noise
fashion_mnist	0.3	0.01	add_noise	128	noisy_train_accuracy	82.96	mean with noise
fashion_mnist	0.3	0.1	add_noise	128	noisy_train_accuracy	82.98333333333333	mean with noise
fashion_mnist	0.3	1.0	add_noise	128	noisy_train_accuracy	82.26	mean with noise
fashion_mnist	0.3	10.0	add_noise	128	noisy_train_accuracy	78.82333333333334	mean with noise
fashion_mnist	0.3	100.0	add_noise	128	noisy_train_accuracy	66.86333333333333	mean with noise
fashion_mnist	0.3	200.0	add_noise	128	noisy_train_accuracy	64.92333333333333	mean with noise
fashion_mnist	0.4	0.01	add_noise	16	noisy_train_accuracy	85.71166666666666	mean with noise
fashion_mnist	0.4	0.1	add_noise	16	noisy_train_accuracy	85.5	mean with noise
fashion_mnist	0.4	1.0	add_noise	16	noisy_train_accuracy	83.99833333333333	mean with noise
fashion_mnist	0.4	10.0	add_noise	16	noisy_train_accuracy	78.01666666666667	mean with noise
fashion_mnist	0.4	100.0	add_noise	16	noisy_train_accuracy	69.74833333333333	mean with noise
fashion_mnist	0.4	200.0	add_noise	16	noisy_train_accuracy	69.25833333333333	mean with noise
fashion_mnist	0.4	0.01	add_noise	32	noisy_train_accuracy	85.055	mean with noise
fashion_mnist	0.4	0.1	add_noise	32	noisy_train_accuracy	84.81833333333333	mean with noise
fashion_mnist	0.4	1.0	add_noise	32	noisy_train_accuracy	83.35833333333333	mean with noise
fashion_mnist	0.4	10.0	add_noise	32	noisy_train_accuracy	78.08166666666668	mean with noise
fashion_mnist	0.4	100.0	add_noise	32	noisy_train_accuracy	68.315	mean with noise
fashion_mnist	0.4	200.0	add_noise	32	noisy_train_accuracy	66.16333333333333	mean with noise
fashion_mnist	0.4	0.01	add_noise	64	noisy_train_accuracy	84.10833333333333	mean with noise
fashion_mnist	0.4	0.1	add_noise	64	noisy_train_accuracy	84.085	mean with noise
fashion_mnist	0.4	1.0	add_noise	64	noisy_train_accuracy	82.93666666666667	mean with noise
fashion_mnist	0.4	10.0	add_noise	64	noisy_train_accuracy	77.00833333333334	mean with noise
fashion_mnist	0.4	100.0	add_noise	64	noisy_train_accuracy	65.51833333333333	mean with noise
fashion_mnist	0.4	200.0	add_noise	64	noisy_train_accuracy	61.59666666666666	mean with noise
fashion_mnist	0.4	0.01	add_noise	128	noisy_train_accuracy	83.00166666666667	mean with noise
fashion_mnist	0.4	0.1	add_noise	128	noisy_train_accuracy	82.94333333333334	mean with noise
fashion_mnist	0.4	1.0	add_noise	128	noisy_train_accuracy	82.46833333333333	mean with noise
fashion_mnist	0.4	10.0	add_noise	128	noisy_train_accuracy	77.40166666666667	mean with noise
fashion_mnist	0.4	100.0	add_noise	128	noisy_train_accuracy	64.55833333333332	mean with noise
fashion_mnist	0.4	200.0	add_noise	128	noisy_train_accuracy	61.195	mean with noise
cifar10	0.1	0.01	add_noise	16	noisy_train_accuracy	44.77	mean with noise
cifar10	0.1	0.1	add_noise	16	noisy_train_accuracy	43.896	mean with noise
cifar10	0.1	1.0	add_noise	16	noisy_train_accuracy	41.782	mean with noise
cifar10	0.1	10.0	add_noise	16	noisy_train_accuracy	34.122	mean with noise
cifar10	0.1	100.0	add_noise	16	noisy_train_accuracy	27.258	mean with noise
cifar10	0.1	200.0	add_noise	16	noisy_train_accuracy	25.118	mean with noise
cifar10	0.1	0.01	add_noise	32	noisy_train_accuracy	43.746	mean with noise
cifar10	0.1	0.1	add_noise	32	noisy_train_accuracy	43.346	mean with noise
cifar10	0.1	1.0	add_noise	32	noisy_train_accuracy	41.916	mean with noise
cifar10	0.1	10.0	add_noise	32	noisy_train_accuracy	35.102	mean with noise
cifar10	0.1	100.0	add_noise	32	noisy_train_accuracy	26.290000000000003	mean with noise
cifar10	0.1	200.0	add_noise	32	noisy_train_accuracy	25.482	mean with noise
cifar10	0.1	0.01	add_noise	64	noisy_train_accuracy	42.536	mean with noise
cifar10	0.1	0.1	add_noise	64	noisy_train_accuracy	42.57	mean with noise
cifar10	0.1	1.0	add_noise	64	noisy_train_accuracy	41.508	mean with noise
cifar10	0.1	10.0	add_noise	64	noisy_train_accuracy	35.214	mean with noise
cifar10	0.1	100.0	add_noise	64	noisy_train_accuracy	25.95	mean with noise
cifar10	0.1	200.0	add_noise	64	noisy_train_accuracy	24.364	mean with noise
cifar10	0.2	0.01	add_noise	16	noisy_train_accuracy	44.464	mean with noise
cifar10	0.2	0.1	add_noise	16	noisy_train_accuracy	43.988	mean with noise
cifar10	0.2	1.0	add_noise	16	noisy_train_accuracy	40.92	mean with noise
cifar10	0.2	10.0	add_noise	16	noisy_train_accuracy	31.202	mean with noise
cifar10	0.2	100.0	add_noise	16	noisy_train_accuracy	25.706	mean with noise
cifar10	0.2	200.0	add_noise	16	noisy_train_accuracy	24.646	mean with noise
